document_id,document_name,file_name,is_public
00000000-0000-0000-0002-00000000002c,Decision Log,md.md,false
00000000-0000-0000-0002-00000000002d,Mind Map,canvas.canvas,false
00000000-0000-0000-0002-00000000002e,Tax Filing,pdf.pdf,false
00000000-0000-0000-0002-00000000002f,Knowledge Base Entry,md.md,true
00000000-0000-0000-0002-000000000030,Org Chart,canvas.canvas,false
00000000-0000-0000-0002-000000000031,Training Material,pdf.pdf,true
00000000-0000-0000-0002-000000000032,Bug Report Template,md.md,false
00000000-0000-0000-0002-000000000033,Concept Sketch,canvas.canvas,false
00000000-0000-0000-0002-000000000034,Legal Review,pdf.pdf,false
00000000-0000-0000-0002-000000000035,Architecture Decision Record,md.md,false
00000000-0000-0000-0002-000000000036,Dashboard Mockup,canvas.canvas,false
00000000-0000-0000-0002-000000000037,SLA Agreement,pdf.pdf,false
00000000-0000-0000-0002-000000000038,Runbook,md.md,false
00000000-0000-0000-0002-000000000039,Workflow Diagram,canvas.canvas,false
00000000-0000-0000-0002-00000000003a,Research Paper,pdf.pdf,false
00000000-0000-0000-0002-00000000003b,RFC Draft,md.md,false
00000000-0000-0000-0002-00000000003c,Sitemap,canvas.canvas,false
00000000-0000-0000-0002-00000000003d,Expense Report,pdf.pdf,false
00000000-0000-0000-0002-00000000003e,Project Retrospective,md.md,false
00000000-0000-0000-0002-00000000003f,State Machine,canvas.canvas,false
00000000-0000-0000-0002-000000000040,Insurance Policy,pdf.pdf,false
00000000-0000-0000-0002-000000000041,Style Guide,md.md,true
00000000-0000-0000-0002-000000000042,UI Prototype,canvas.canvas,false
00000000-0000-0000-0002-000000000043,Partnership Agreement,pdf.pdf,false
00000000-0000-0000-0002-000000000044,API Changelog,md.md,false
00000000-0000-0000-0002-000000000045,Database Schema,canvas.canvas,false
00000000-0000-0000-0002-000000000046,Quarterly Review,pdf.pdf,false
00000000-0000-0000-0002-000000000047,Configuration Guide,md.md,false
00000000-0000-0000-0002-000000000048,Gantt Chart,canvas.canvas,false
00000000-0000-0000-0002-000000000049,Warranty Document,pdf.pdf,false
00000000-0000-0000-0002-00000000004a,Deployment Notes,md.md,false
00000000-0000-0000-0002-00000000004b,Class Diagram,canvas.canvas,false
00000000-0000-0000-0002-00000000004c,Customer Feedback Summary,pdf.pdf,false
00000000-0000-0000-0002-00000000004d,Contributing Guidelines,md.md,true
00000000-0000-0000-0002-00000000004e,Login Flow,canvas.canvas,false
00000000-0000-0000-0002-00000000004f,Brand Guidelines,pdf.pdf,false
00000000-0000-0000-0002-000000000050,Monitoring Setup,md.md,false
00000000-0000-0000-0002-000000000051,Payment Flow,canvas.canvas,false
00000000-0000-0000-0002-000000000052,Privacy Policy,pdf.pdf,true
00000000-0000-0000-0002-000000000053,Environment Variables,md.md,false
00000000-0000-0000-0002-000000000054,Notification Flow,canvas.canvas,false
00000000-0000-0000-0002-000000000055,Terms of Service,pdf.pdf,true
00000000-0000-0000-0002-000000000056,Dependency Audit,md.md,false
00000000-0000-0000-0002-000000000057,Search Architecture,canvas.canvas,false
00000000-0000-0000-0002-000000000058,Invoice Template,pdf.pdf,false
00000000-0000-0000-0002-000000000059,Capacity Planning,md.md,false
00000000-0000-0000-0002-00000000005a,Auth Flow,canvas.canvas,false
00000000-0000-0000-0002-00000000005b,Compliance Checklist,pdf.pdf,false
00000000-0000-0000-0002-00000000005c,Load Test Results,md.md,false
00000000-0000-0000-0002-00000000005d,Microservices Map,canvas.canvas,false
00000000-0000-0000-0002-00000000005e,Risk Assessment,pdf.pdf,false
00000000-0000-0000-0002-00000000005f,Disaster Recovery Plan,md.md,false
00000000-0000-0000-0002-000000000060,CI Pipeline,canvas.canvas,false
00000000-0000-0000-0002-000000000061,Shipping Label,pdf.pdf,false
00000000-0000-0000-0002-000000000062,Benchmarks,md.md,false
00000000-0000-0000-0002-000000000063,Feature Flag Matrix,canvas.canvas,false
00000000-0000-0000-0002-000000000064,Certificate,pdf.pdf,false
